date,institutions,individuals,foreigners,others,total
2025-10-23,-37059,-10768,8734,39093,0
2025-10-24,403130,-468966,36910,28926,0
2025-10-27,-296086,726865,-425022,-5757,0
2025-10-28,255102,-626501,374569,-3170,0
2025-10-29,255805,-572081,324861,-8585,0
2025-10-30,-96451,-169550,272038,-6037,0
2025-10-31,-49787,18132,35634,-3979,0
2025-11-03,-20866,90897,-82022,11991,0
2025-11-04,-137715,273228,-148919,13406,0
2025-11-05,-142076,186199,-55313,11190,0
2025-11-06,-46966,97469,-57221,6718,0
2025-11-07,3805,-70869,85797,-18733,0
2025-11-10,-3473,6922,-1095,-2354,0
2025-11-11,66114,-40368,-27149,1403,0
2025-11-12,11727,51508,-62271,-964,0
2025-11-13,79270,-132739,52919,550,0
2025-11-14,-108726,293954,-196828,11600,0
2025-11-17,6049,69564,-83847,8234,0
2025-11-18,-107770,102705,7168,-2103,0
2025-11-19,-18099,-24886,49483,-6498,0
2025-11-20,-20385,26011,-5934,308,0
2025-11-21,-36692,24758,24597,-12663,0
